epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9.92255,0.96668,2.03727,1.21146,0.71632,0.32639,0.51416,0.36808,1.39113,2.79557,1.4568,0.000207501,0.000207501,0.000207501
45,10.1363,0.9416,2.16406,1.15741,0.71632,0.32639,0.51416,0.36808,1.39113,2.79557,1.4568,0.000210936,0.000210936,0.000210936
46,10.3624,0.97598,2.19008,1.16442,0.75324,0.43468,0.54581,0.36604,1.39495,2.71763,1.4372,0.000214311,0.000214311,0.000214311
47,10.5527,1.03666,2.23997,1.27128,0.75324,0.43468,0.54581,0.36604,1.39495,2.71763,1.4372,0.000217626,0.000217626,0.000217626
48,10.7528,0.98638,1.74776,1.22365,0.74723,0.45347,0.5332,0.36057,1.40315,2.67629,1.44112,0.000220882,0.000220882,0.000220882
49,10.9402,0.95639,1.84179,1.18413,0.74723,0.45347,0.5332,0.36057,1.40315,2.67629,1.44112,0.000224077,0.000224077,0.000224077
50,11.202,0.86494,1.76442,1.10574,0.73752,0.45294,0.54768,0.36782,1.45331,2.62528,1.46334,0.000227212,0.000227212,0.000227212
51,11.3977,0.92461,1.90981,1.10639,0.73752,0.45294,0.54768,0.36782,1.45331,2.62528,1.46334,0.000228007,0.000228007,0.000228007
52,11.5949,0.87021,1.77017,1.13418,0.74784,0.41818,0.55141,0.36952,1.4949,2.58427,1.48965,0.000226508,0.000226508,0.000226508
53,11.7862,0.87819,1.84114,1.12008,0.74784,0.41818,0.55141,0.36952,1.4949,2.58427,1.48965,0.000225008,0.000225008,0.000225008
54,11.9941,0.92841,1.77204,1.17219,0.85271,0.38791,0.61447,0.38637,1.52258,2.55987,1.53165,0.000223508,0.000223508,0.000223508
55,12.2126,0.911,1.74899,1.15844,0.85271,0.38791,0.61447,0.38637,1.52258,2.55987,1.53165,0.000222008,0.000222008,0.000222008
56,12.4365,0.97435,1.65563,1.13274,0.74774,0.41818,0.65009,0.41023,1.54582,2.51497,1.52911,0.000220508,0.000220508,0.000220508
57,12.6605,0.9752,1.59647,1.15333,0.74774,0.41818,0.65009,0.41023,1.54582,2.51497,1.52911,0.000219008,0.000219008,0.000219008
58,12.8852,0.91552,1.642,1.15321,0.75027,0.41818,0.66747,0.4403,1.51043,2.44549,1.5249,0.000217509,0.000217509,0.000217509
59,13.0994,0.92203,1.66065,1.15624,0.75027,0.41818,0.66747,0.4403,1.51043,2.44549,1.5249,0.000216009,0.000216009,0.000216009
60,13.3231,0.92351,1.85434,1.19415,0.71992,0.40126,0.68794,0.43261,1.49421,2.36949,1.52545,0.000214509,0.000214509,0.000214509
61,13.5271,0.93821,1.58837,1.16553,0.71992,0.40126,0.68794,0.43261,1.49421,2.36949,1.52545,0.000213009,0.000213009,0.000213009
62,13.725,0.7904,1.4898,1.09551,0.71195,0.45005,0.66619,0.43364,1.4745,2.3108,1.52213,0.000211509,0.000211509,0.000211509
63,13.9213,0.88913,1.68755,1.09488,0.71195,0.45005,0.66619,0.43364,1.4745,2.3108,1.52213,0.000210009,0.000210009,0.000210009
64,14.1318,0.83152,1.54595,1.09695,0.62797,0.47744,0.62239,0.44247,1.46174,2.20036,1.51066,0.000208509,0.000208509,0.000208509
