epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,665.425,0.89717,0.76737,1.27682,0.84541,0.83512,0.88819,0.63703,1.04881,0.77536,1.50343,0.007921,0.007921,0.007921
44,680.833,0.89796,0.76854,1.27992,0.90192,0.78149,0.88892,0.65182,0.9881,0.73205,1.45996,0.0078715,0.0078715,0.0078715
45,696.397,0.90171,0.75455,1.27835,0.88591,0.82165,0.89587,0.64941,1.02704,0.76057,1.48442,0.007822,0.007822,0.007822
46,711.831,0.89394,0.75163,1.2829,0.82851,0.81931,0.88504,0.64557,1.00015,0.7451,1.45372,0.0077725,0.0077725,0.0077725
47,727.244,0.89323,0.73961,1.27898,0.87156,0.83081,0.89657,0.65318,1.02604,0.71357,1.47291,0.007723,0.007723,0.007723
48,742.656,0.89545,0.75183,1.27548,0.85933,0.8285,0.88543,0.64815,1.02258,0.728,1.48433,0.0076735,0.0076735,0.0076735
49,758.091,0.87564,0.73028,1.26615,0.86507,0.83835,0.8884,0.63814,1.02629,0.70838,1.49062,0.007624,0.007624,0.007624
50,773.524,0.87266,0.72987,1.25999,0.84161,0.83232,0.89363,0.65099,1.02551,0.73393,1.488,0.0075745,0.0075745,0.0075745
51,788.962,0.86842,0.72883,1.26485,0.88718,0.82352,0.90145,0.65391,1.03353,0.72054,1.49415,0.007525,0.007525,0.007525
52,804.41,0.87211,0.73593,1.26775,0.86093,0.81494,0.89,0.63709,1.00979,0.75508,1.47427,0.0074755,0.0074755,0.0074755
53,819.832,0.86738,0.71599,1.25784,0.87266,0.8246,0.9031,0.64682,1.02229,0.72518,1.47214,0.007426,0.007426,0.007426
54,835.242,0.87005,0.71591,1.25972,0.87985,0.80403,0.89763,0.65788,1.01809,0.69385,1.4979,0.0073765,0.0073765,0.0073765
55,850.673,0.85417,0.70261,1.25056,0.83855,0.85459,0.90592,0.66093,1.03569,0.72145,1.49588,0.007327,0.007327,0.007327
56,866.135,0.85178,0.69568,1.24824,0.86101,0.83325,0.8917,0.65644,0.9928,0.69412,1.46278,0.0072775,0.0072775,0.0072775
57,881.565,0.85787,0.71497,1.25741,0.88905,0.80709,0.89942,0.65262,0.99718,0.71334,1.46194,0.007228,0.007228,0.007228
58,897.014,0.84899,0.69205,1.24963,0.87789,0.82659,0.90568,0.66701,0.99577,0.67898,1.46615,0.0071785,0.0071785,0.0071785
59,912.557,0.84445,0.69544,1.24743,0.85664,0.8562,0.90667,0.66254,1.00892,0.69034,1.458,0.007129,0.007129,0.007129
60,927.967,0.84388,0.68852,1.24241,0.88084,0.83158,0.89921,0.64632,1.03667,0.71664,1.49647,0.0070795,0.0070795,0.0070795
61,943.373,0.83593,0.67776,1.23415,0.86924,0.83161,0.89765,0.65775,1.00185,0.71019,1.47143,0.00703,0.00703,0.00703
62,958.795,0.82807,0.66942,1.23032,0.85115,0.83305,0.893,0.65981,0.99258,0.736,1.46609,0.0069805,0.0069805,0.0069805
63,974.212,0.82545,0.66935,1.2301,0.85569,0.83378,0.90878,0.66829,1.00451,0.70228,1.47733,0.006931,0.006931,0.006931
64,989.782,0.82381,0.66813,1.22987,0.847,0.83261,0.90594,0.66307,0.9941,0.69861,1.45971,0.0068815,0.0068815,0.0068815
65,1005.18,0.83715,0.67006,1.23995,0.90537,0.81344,0.89839,0.66496,0.98483,0.7071,1.44313,0.006832,0.006832,0.006832
66,1020.6,0.83072,0.66395,1.2308,0.86913,0.82124,0.90168,0.65832,1.01058,0.68356,1.47634,0.0067825,0.0067825,0.0067825
67,1036.02,0.8161,0.65025,1.22104,0.86044,0.86075,0.90551,0.66447,1.01059,0.67695,1.46889,0.006733,0.006733,0.006733
68,1051.44,0.81706,0.65652,1.22103,0.90568,0.8137,0.90217,0.65892,1.03845,0.71758,1.49244,0.0066835,0.0066835,0.0066835
69,1066.97,0.81778,0.65159,1.22118,0.87344,0.84434,0.90265,0.66271,1.00431,0.69316,1.47703,0.006634,0.006634,0.006634
70,1082.39,0.80309,0.6529,1.21431,0.85265,0.84084,0.90041,0.65441,1.02841,0.70138,1.47351,0.0065845,0.0065845,0.0065845
71,1097.81,0.81369,0.65441,1.22209,0.86956,0.82417,0.89809,0.65888,1.00607,0.69693,1.46735,0.006535,0.006535,0.006535
72,1113.25,0.80411,0.63732,1.21468,0.87194,0.82344,0.89662,0.66349,1.02333,0.68392,1.48703,0.0064855,0.0064855,0.0064855
73,1128.7,0.80495,0.63495,1.21699,0.86392,0.84085,0.88917,0.66414,0.99665,0.69692,1.47408,0.006436,0.006436,0.006436
74,1144.12,0.79375,0.63663,1.21113,0.84301,0.87995,0.91619,0.673,0.99405,0.65468,1.4549,0.0063865,0.0063865,0.0063865
75,1159.53,0.79502,0.62383,1.20864,0.87906,0.81899,0.90926,0.67557,0.99248,0.65677,1.46089,0.006337,0.006337,0.006337
76,1174.97,0.79211,0.6272,1.20772,0.85575,0.87044,0.91818,0.67723,0.9957,0.65822,1.44838,0.0062875,0.0062875,0.0062875
77,1190.44,0.79245,0.62788,1.20824,0.87174,0.83571,0.91033,0.67704,0.9978,0.66613,1.47625,0.006238,0.006238,0.006238
78,1205.86,0.78787,0.61944,1.20589,0.85979,0.84805,0.90511,0.67363,0.99244,0.66758,1.47374,0.0061885,0.0061885,0.0061885
79,1221.26,0.78665,0.62407,1.20664,0.85329,0.85114,0.90937,0.67156,0.98981,0.6534,1.47021,0.006139,0.006139,0.006139
80,1236.7,0.78358,0.62302,1.2022,0.87589,0.82183,0.90353,0.66802,0.99119,0.67995,1.46648,0.0060895,0.0060895,0.0060895
81,1252.11,0.77773,0.6186,1.19734,0.905,0.82044,0.91264,0.67583,1.00515,0.64234,1.4754,0.00604,0.00604,0.00604
82,1267.55,0.77359,0.60573,1.19727,0.88981,0.85611,0.91492,0.6854,0.98317,0.63907,1.46362,0.0059905,0.0059905,0.0059905
83,1282.97,0.77882,0.60656,1.19712,0.84898,0.85285,0.91057,0.68138,0.99377,0.62932,1.4747,0.005941,0.005941,0.005941
84,1298.38,0.76832,0.60016,1.1915,0.8998,0.83643,0.91389,0.67923,0.9824,0.63256,1.46455,0.0058915,0.0058915,0.0058915
85,1313.79,0.76414,0.59544,1.19267,0.89422,0.82406,0.90528,0.68358,0.97495,0.65103,1.45217,0.005842,0.005842,0.005842
86,1329.35,0.76884,0.59729,1.1952,0.87408,0.8389,0.89871,0.6774,0.99011,0.66581,1.46199,0.0057925,0.0057925,0.0057925
87,1344.76,0.75971,0.59241,1.18439,0.88982,0.84087,0.90701,0.67919,1.00115,0.64696,1.46773,0.005743,0.005743,0.005743
88,1360.19,0.75357,0.58598,1.1868,0.83135,0.84919,0.90387,0.68135,0.98681,0.63841,1.46626,0.0056935,0.0056935,0.0056935
